,ClientName,MonthNum,Day,Prods,QtyOrdered,Sales
0,Client0,1,0,"prod1,prod1,prod15,prod12",24,16800
1,Client0,1,0,"prod1,prod13,prod12,prod15",18,8100
2,Client0,1,0,"prod1,prod15",5,4700
3,Client0,1,0,"prod1,prod3,prod6,prod6",25,12400
4,Client0,1,0,"prod1,prod5",7,6100
5,Client0,1,0,"prod1,prod7,prod2,prod12",16,7500
6,Client0,1,0,"prod10,prod1,prod1,prod12",27,16500
7,Client0,1,0,"prod10,prod1,prod13,prod11",13,8100
8,Client0,1,0,"prod10,prod12,prod14,prod6",21,6900
9,Client0,1,0,"prod10,prod12,prod15,prod13",19,11800
10,Client0,1,0,"prod10,prod13,prod11,prod7",14,4600
11,Client0,1,0,"prod10,prod14,prod10,prod10",13,5800
12,Client0,1,0,"prod10,prod14,prod15,prod11",26,11700
13,Client0,1,0,"prod10,prod2,prod5,prod1",26,17500
14,Client0,1,0,"prod11,prod15,prod4",9,7400
15,Client0,1,0,"prod11,prod15,prod5",9,8000
16,Client0,1,0,"prod12,prod12,prod7",11,4400
17,Client0,1,0,"prod12,prod15,prod1",5,3500
18,Client0,1,0,"prod12,prod2,prod13",18,6800
19,Client0,1,0,"prod12,prod9,prod15",15,9000
20,Client0,1,0,"prod13,prod1,prod12",5,2700
21,Client0,1,0,"prod13,prod1,prod2",10,5500
22,Client0,1,0,"prod13,prod12,prod15",19,14000
23,Client0,1,0,"prod13,prod12,prod3",9,2700
24,Client0,1,0,"prod13,prod15,prod12",4,2000
25,Client0,1,0,"prod13,prod2,prod14",12,3300
26,Client0,1,0,"prod13,prod2,prod15",28,18900
27,Client0,1,0,"prod13,prod3,prod4",14,7600
28,Client0,1,0,"prod14,prod12,prod6",19,8700
29,Client0,1,0,"prod14,prod14,prod10",10,5500
30,Client0,1,0,"prod15,prod13,prod8,prod10",15,7000
31,Client0,1,0,"prod15,prod2,prod2,prod3",19,8800
32,Client0,1,0,"prod15,prod6,prod2,prod11",16,9900
33,Client0,1,0,"prod2,prod1,prod13",19,9600
34,Client0,1,0,"prod2,prod10,prod10",19,18500
35,Client0,1,0,"prod2,prod12,prod3",12,4000
36,Client0,1,0,"prod2,prod2,prod9",16,3600
37,Client0,1,0,"prod2,prod3,prod13",17,4500
38,Client0,1,0,"prod2,prod4,prod12",7,4500
39,Client0,1,0,"prod3,prod1,prod3",18,8600
40,Client0,1,0,"prod3,prod6,prod13",20,8500
41,Client0,1,0,"prod3,prod9,prod14",11,1300
42,Client0,1,0,"prod4,prod2,prod10,prod1",27,20400
43,Client0,1,0,"prod5,prod13,prod9,prod11",25,9900
44,Client0,1,0,"prod6,prod1,prod4",13,9100
45,Client0,1,0,"prod6,prod10,prod15",10,9600
46,Client0,1,0,"prod6,prod13,prod15",13,7000
47,Client0,1,0,"prod8,prod4,prod10",5,3600
48,Client0,1,0,"prod9,prod2,prod10",15,10600
49,Client0,1,0,"prod9,prod2,prod6",19,9900
50,Client0,1,1,"prod1,prod3,prod7,prod12",21,8000
51,Client0,1,1,"prod1,prod6,prod15,prod12",18,11900
52,Client0,1,1,"prod10,prod14,prod13,prod15",24,11600
53,Client0,1,1,"prod10,prod14,prod14,prod15",21,7500
54,Client0,1,1,"prod10,prod2,prod14,prod13",22,8000
55,Client0,1,1,"prod10,prod3,prod7,prod2",16,7800
56,Client0,1,1,"prod10,prod9,prod1,prod9",16,5500
57,Client0,1,1,"prod11,prod10,prod2",15,9600
58,Client0,1,1,"prod11,prod11,prod10",15,11800
59,Client0,1,1,"prod11,prod4,prod7",14,9800
60,Client0,1,1,"prod12,prod1,prod10",17,14900
61,Client0,1,1,"prod12,prod14,prod12",17,4700
62,Client0,1,1,"prod12,prod15,prod13",15,6400
63,Client0,1,1,"prod12,prod6,prod9",12,2000
64,Client0,1,1,"prod12,prod7,prod3",7,2300
65,Client0,1,1,"prod12,prod9,prod1",4,1300
66,Client0,1,1,"prod12,prod9,prod12",19,4900
67,Client0,1,1,"prod12,prod9,prod2",18,6100
68,Client0,1,1,"prod13,prod1,prod10",4,2600
69,Client0,1,1,"prod13,prod1,prod12",10,6200
70,Client0,1,1,"prod13,prod13,prod10",13,5800
71,Client0,1,1,"prod13,prod3,prod15",6,3800
72,Client0,1,1,"prod13,prod6,prod10",15,12200
73,Client0,1,1,"prod13,prod6,prod13",15,5000
74,Client0,1,1,"prod14,prod1,prod15",16,13300
75,Client0,1,1,"prod14,prod13,prod3",12,2400
76,Client0,1,1,"prod14,prod3,prod15",8,4300
77,Client0,1,1,"prod14,prod4,prod1",10,7000
78,Client0,1,1,"prod14,prod4,prod10",18,15500
79,Client0,1,1,"prod14,prod4,prod12",20,11700
80,Client0,1,1,"prod14,prod5,prod11",11,8200
81,Client0,1,1,"prod15,prod1,prod2,prod1",22,14300
82,Client0,1,1,"prod15,prod1,prod4,prod13",21,12300
83,Client0,1,1,"prod15,prod12,prod12,prod15",23,15200
84,Client0,1,1,"prod15,prod12,prod7,prod11",25,11800
85,Client0,1,1,"prod15,prod14,prod15,prod9",20,11900
86,Client0,1,1,"prod15,prod15",4,4000
87,Client0,1,1,"prod15,prod3,prod3,prod11",25,10600
88,Client0,1,1,"prod15,prod6,prod10,prod15",12,8800
89,Client0,1,1,"prod2,prod10,prod14",7,5600
90,Client0,1,1,"prod2,prod11,prod3",15,5900
91,Client0,1,1,"prod2,prod15,prod11",21,16500
92,Client0,1,1,"prod2,prod2,prod13",10,3200
93,Client0,1,1,"prod2,prod3,prod11",13,6500
94,Client0,1,1,"prod3,prod1,prod10",19,15900
95,Client0,1,1,"prod3,prod10,prod9",11,3100
96,Client0,1,1,"prod3,prod12,prod10",12,6500
97,Client0,1,1,"prod3,prod12,prod12",9,3500
98,Client0,1,1,"prod3,prod12,prod2",4,1700
99,Client0,1,1,"prod3,prod13,prod3",38,9200
100,Client0,1,1,"prod3,prod14,prod3",13,2700
101,Client0,1,1,"prod3,prod3,prod11",21,9000
