,OrderID,ClientName,MonthNum,Hour,Minute,Day,Prods,CliSentiAvg,SpSentiAvg,QtyOrdered,Sales
0,1001,Client1,1,20,51,4,"prod14,prod6,prod2",0.2,0.4,1,100
1,1001,Client1,1,20,51,4,"prod14,prod6,prod2",0.4,0.4,3,1800
2,1001,Client1,1,20,51,4,"prod14,prod6,prod2",0.8,0.8,1,500
3,1002,Client8,1,21,3,0,"prod2,prod15,prod15",0.4,0.4,3,3000
4,1002,Client8,1,21,3,0,"prod2,prod15,prod15",0.4,0.6,1,500
5,1002,Client8,1,21,3,0,"prod2,prod15,prod15",0.6,0.4,6,6000
6,1003,Client0,1,18,22,4,"prod2,prod9,prod1",0.6,0.4,3,2100
7,1003,Client0,1,18,22,4,"prod2,prod9,prod1",0.8,0.2,1,500
8,1003,Client0,1,18,22,4,"prod2,prod9,prod1",0.8,0.4,6,600
9,1004,Client9,1,19,16,3,"prod4,prod13,prod3,prod12",0.2,0.6,2,400
10,1004,Client9,1,19,16,3,"prod4,prod13,prod3,prod12",0.4,0.2,1,800
11,1004,Client9,1,19,16,3,"prod4,prod13,prod3,prod12",0.6,0.6,8,2400
12,1004,Client9,1,19,16,3,"prod4,prod13,prod3,prod12",0.8,0.8,3,1200
13,1005,Client0,1,14,57,3,"prod3,prod12,prod4",0.6,0.4,9,3600
14,1005,Client0,1,14,57,3,"prod3,prod12,prod4",0.8,0.8,1,300
15,1005,Client0,1,14,57,3,"prod3,prod12,prod4",1.0,0.4,3,2400
16,1006,Client8,1,1,19,4,"prod2,prod15,prod14",0.2,0.6,5,500
17,1006,Client8,1,1,19,4,"prod2,prod15,prod14",0.6,0.4,1,1000
18,1006,Client8,1,1,19,4,"prod2,prod15,prod14",0.8,0.4,1,500
19,1007,Client2,1,16,41,4,"prod10,prod10",0.4,0.2,1,1000
20,1007,Client2,1,16,41,4,"prod10,prod10",0.6,0.8,3,3000
21,1008,Client5,1,9,4,6,"prod15,prod11,prod9,prod15",0.0,0.2,3,1800
22,1008,Client5,1,9,4,6,"prod15,prod11,prod9,prod15",0.2,0.2,1,1000
23,1008,Client5,1,9,4,6,"prod15,prod11,prod9,prod15",0.4,0.6,1,1000
24,1008,Client5,1,9,4,6,"prod15,prod11,prod9,prod15",0.6,0.8,8,800
25,1009,Client8,1,14,0,5,"prod2,prod1,prod3",0.2,0.4,1,500
26,1009,Client8,1,14,0,5,"prod2,prod1,prod3",0.6,0.4,8,5600
27,1009,Client8,1,14,0,5,"prod2,prod1,prod3",1.0,0.6,9,2700
28,1010,Client1,1,11,48,1,"prod4,prod12,prod2,prod9",0.0,0.4,1,800
29,1010,Client1,1,11,48,1,"prod4,prod12,prod2,prod9",0.2,0.2,5,500
30,1010,Client1,1,11,48,1,"prod4,prod12,prod2,prod9",0.2,0.4,4,1600
31,1010,Client1,1,11,48,1,"prod4,prod12,prod2,prod9",0.6,0.8,10,5000
32,1011,Client2,1,19,23,6,"prod13,prod6,prod9",0.2,0.6,9,5400
33,1011,Client2,1,19,23,6,"prod13,prod6,prod9",0.6,0.4,9,900
34,1011,Client2,1,19,23,6,"prod13,prod6,prod9",0.6,0.6,1,200
35,1012,Client4,2,3,32,4,"prod4,prod15",0.4,0.4,1,800
36,1012,Client4,2,3,32,4,"prod4,prod15",0.4,0.6,7,7000
37,1013,Client0,1,12,36,3,"prod15,prod13,prod9,prod12",0.4,0.2,7,2800
38,1013,Client0,1,12,36,3,"prod15,prod13,prod9,prod12",0.6,0.6,2,400
39,1013,Client0,1,12,36,3,"prod15,prod13,prod9,prod12",0.8,0.4,6,600
40,1013,Client0,1,12,36,3,"prod15,prod13,prod9,prod12",0.8,0.6,1,1000
41,1014,Client0,1,23,28,5,"prod1,prod1,prod15,prod13",0.4,0.0,1,700
42,1014,Client0,1,23,28,5,"prod1,prod1,prod15,prod13",0.4,0.4,11,11000
43,1014,Client0,1,23,28,5,"prod1,prod1,prod15,prod13",0.4,0.8,2,1400
44,1014,Client0,1,23,28,5,"prod1,prod1,prod15,prod13",0.6,0.2,4,800
45,1015,Client0,1,9,29,4,"prod3,prod12,prod10",0.4,0.4,1,300
46,1015,Client0,1,9,29,4,"prod3,prod12,prod10",0.6,0.6,10,5800
47,1016,Client8,1,8,8,0,"prod1,prod11,prod2,prod3",0.4,0.0,3,1800
48,1016,Client8,1,8,8,0,"prod1,prod11,prod2,prod3",0.4,0.4,1,300
49,1016,Client8,1,8,8,0,"prod1,prod11,prod2,prod3",0.6,0.4,1,700
50,1016,Client8,1,8,8,0,"prod1,prod11,prod2,prod3",0.8,0.4,11,5500
51,1017,Client2,1,20,59,1,"prod15,prod10",0.6,0.4,8,8000
52,1017,Client2,1,20,59,1,"prod15,prod10",0.6,0.6,1,1000
53,1018,Client0,1,14,55,4,"prod2,prod1,prod1",0.2,0.2,2,1400
54,1018,Client0,1,14,55,4,"prod2,prod1,prod1",0.6,0.4,5,3500
55,1018,Client0,1,14,55,4,"prod2,prod1,prod1",0.8,0.6,1,500
56,1019,Client9,1,20,25,1,"prod3,prod2,prod12",0.2,0.8,10,5000
57,1019,Client9,1,20,25,1,"prod3,prod2,prod12",0.4,0.6,1,300
58,1019,Client9,1,20,25,1,"prod3,prod2,prod12",0.8,0.4,4,1600
59,1020,Client0,1,15,15,4,"prod2,prod11,prod12",0.4,0.4,2,1200
60,1020,Client0,1,15,15,4,"prod2,prod11,prod12",0.6,0.4,1,500
61,1020,Client0,1,15,15,4,"prod2,prod11,prod12",0.6,1.0,4,1600
62,1021,Client0,1,9,35,5,"prod6,prod5,prod15",0.2,0.4,6,5400
63,1021,Client0,1,9,35,5,"prod6,prod5,prod15",0.2,0.6,1,600
64,1021,Client0,1,9,35,5,"prod6,prod5,prod15",0.8,0.2,5,5000
65,1022,Client1,1,16,9,6,"prod7,prod15,prod14",0.2,1.0,10,10000
66,1022,Client1,1,16,9,6,"prod7,prod15,prod14",0.4,0.8,1,400
67,1022,Client1,1,16,9,6,"prod7,prod15,prod14",0.8,0.4,4,400
68,1023,Client0,1,13,49,4,"prod10,prod13,prod1,prod5",0.4,0.2,8,7200
69,1023,Client0,1,13,49,4,"prod10,prod13,prod1,prod5",0.4,0.6,1,1000
70,1023,Client0,1,13,49,4,"prod10,prod13,prod1,prod5",0.4,0.8,5,3000
71,1024,Client0,1,20,52,4,"prod12,prod13,prod12",0.6,0.2,3,1200
72,1024,Client0,1,20,52,4,"prod12,prod13,prod12",0.6,0.6,11,2200
73,1024,Client0,1,20,52,4,"prod12,prod13,prod12",0.8,0.0,1,400
74,1025,Client0,1,23,20,1,"prod6,prod11,prod1",0.2,0.6,5,3400
75,1025,Client0,1,23,20,1,"prod6,prod11,prod1",0.4,0.6,1,600
76,1026,Client0,1,14,51,6,"prod1,prod13,prod2,prod5",0.2,0.6,5,2500
77,1026,Client0,1,14,51,6,"prod1,prod13,prod2,prod5",0.6,0.4,3,600
78,1026,Client0,1,14,51,6,"prod1,prod13,prod2,prod5",0.6,0.6,1,700
79,1026,Client0,1,14,51,6,"prod1,prod13,prod2,prod5",1.0,0.6,7,6300
80,1027,Client8,1,8,45,0,"prod3,prod14,prod12",0.2,0.0,8,800
81,1027,Client8,1,8,45,0,"prod3,prod14,prod12",0.2,0.4,1,400
82,1027,Client8,1,8,45,0,"prod3,prod14,prod12",0.4,0.6,1,300
83,1028,Client2,1,13,21,2,"prod15,prod3,prod15,prod3",0.2,0.4,1,1000
84,1028,Client2,1,13,21,2,"prod15,prod3,prod15,prod3",0.6,0.2,9,2700
85,1028,Client2,1,13,21,2,"prod15,prod3,prod15,prod3",0.6,0.8,7,7000
86,1028,Client2,1,13,21,2,"prod15,prod3,prod15,prod3",0.8,0.4,9,2700
87,1029,Client3,1,23,26,6,"prod3,prod10,prod3",0.2,0.6,1,300
88,1029,Client3,1,23,26,6,"prod3,prod10,prod3",0.8,0.4,6,1800
89,1029,Client3,1,23,26,6,"prod3,prod10,prod3",0.8,0.6,11,11000
90,1030,Client8,1,8,47,6,"prod15,prod14,prod14,prod6",0.2,0.6,7,700
91,1030,Client8,1,8,47,6,"prod15,prod14,prod14,prod6",0.6,0.2,1,100
92,1030,Client8,1,8,47,6,"prod15,prod14,prod14,prod6",0.6,0.4,1,1000
93,1030,Client8,1,8,47,6,"prod15,prod14,prod14,prod6",0.8,0.4,1,600
94,1031,Client0,1,8,59,6,"prod15,prod5",0.4,0.4,10,9100
95,1032,Client4,1,19,27,1,"prod1,prod15",0.6,0.2,4,4000
96,1032,Client4,1,19,27,1,"prod1,prod15",0.6,0.6,1,700
97,1033,Client0,1,11,56,1,"prod12,prod6,prod9",0.0,0.8,1,600
98,1033,Client0,1,11,56,1,"prod12,prod6,prod9",0.2,0.6,1,400
99,1033,Client0,1,11,56,1,"prod12,prod6,prod9",0.4,0.4,10,1000
100,1034,Client2,1,16,25,3,"prod1,prod4",0.2,0.4,1,700
101,1034,Client2,1,16,25,3,"prod1,prod4",0.6,0.6,1,800
102,1035,Client3,1,20,56,2,"prod9,prod14,prod3",0.0,0.6,1,100
103,1035,Client3,1,20,56,2,"prod9,prod14,prod3",0.2,0.6,8,800
104,1035,Client3,1,20,56,2,"prod9,prod14,prod3",0.6,0.4,10,3000
105,1036,Client3,1,10,18,5,"prod2,prod14,prod3",0.2,0.8,8,2400
106,1036,Client3,1,10,18,5,"prod2,prod14,prod3",0.6,0.8,1,500
107,1036,Client3,1,10,18,5,"prod2,prod14,prod3",0.8,0.6,8,800
108,1037,Client0,1,19,21,4,"prod2,prod14,prod12",0.4,0.0,6,600
109,1037,Client0,1,19,21,4,"prod2,prod14,prod12",0.4,0.6,1,500
110,1037,Client0,1,19,21,4,"prod2,prod14,prod12",0.4,0.8,8,3200
111,1038,Client9,1,9,25,1,"prod1,prod5",0.4,0.2,1,700
112,1038,Client9,1,9,25,1,"prod1,prod5",0.6,0.4,8,7200
113,1039,Client0,1,12,11,3,"prod12,prod14,prod12",0.2,0.6,1,100
114,1039,Client0,1,12,11,3,"prod12,prod14,prod12",0.4,0.6,1,400
115,1039,Client0,1,12,11,3,"prod12,prod14,prod12",0.8,1.0,2,800
116,1040,Client0,1,9,52,4,"prod15,prod14,prod10,prod15",0.0,0.2,1,1000
117,1040,Client0,1,9,52,4,"prod15,prod14,prod10,prod15",0.2,0.2,3,3000
118,1040,Client0,1,9,52,4,"prod15,prod14,prod10,prod15",0.4,0.6,1,1000
119,1040,Client0,1,9,52,4,"prod15,prod14,prod10,prod15",0.8,0.4,10,1000
120,1041,Client2,1,17,23,2,"prod1,prod3,prod15,prod5",0.2,0.6,8,7200
121,1041,Client2,1,17,23,2,"prod1,prod3,prod15,prod5",0.4,0.6,12,11700
122,1041,Client2,1,17,23,2,"prod1,prod3,prod15,prod5",0.6,0.6,9,2700
123,1042,Client8,1,8,26,5,"prod15,prod13,prod1,prod6",0.4,0.0,8,4800
124,1042,Client8,1,8,26,5,"prod15,prod13,prod1,prod6",0.4,0.6,1,1000
125,1042,Client8,1,8,26,5,"prod15,prod13,prod1,prod6",0.6,0.6,7,1400
126,1042,Client8,1,8,26,5,"prod15,prod13,prod1,prod6",0.8,0.6,1,700
127,1043,Client2,1,18,47,2,"prod5,prod3,prod13,prod13",0.2,0.4,7,1400
128,1043,Client2,1,18,47,2,"prod5,prod3,prod13,prod13",0.2,0.6,9,2700
129,1043,Client2,1,18,47,2,"prod5,prod3,prod13,prod13",0.4,0.6,11,2200
130,1043,Client2,1,18,47,2,"prod5,prod3,prod13,prod13",0.8,0.6,1,900
131,1044,Client0,1,12,13,6,"prod1,prod13,prod14,prod3",0.2,0.4,8,2400
132,1044,Client0,1,12,13,6,"prod1,prod13,prod14,prod3",0.2,0.6,1,700
133,1044,Client0,1,12,13,6,"prod1,prod13,prod14,prod3",0.4,0.2,3,600
134,1044,Client0,1,12,13,6,"prod1,prod13,prod14,prod3",0.8,0.8,7,700
135,1045,Client1,1,17,29,6,"prod13,prod1,prod2",0.4,0.4,8,5600
136,1045,Client1,1,17,29,6,"prod13,prod1,prod2",0.8,0.6,8,3700
137,1046,Client4,1,0,42,3,"prod15,prod8,prod12,prod5",0.2,0.4,6,5400
138,1046,Client4,1,0,42,3,"prod15,prod8,prod12,prod5",0.4,0.2,1,1000
139,1046,Client4,1,0,42,3,"prod15,prod8,prod12,prod5",0.6,0.0,3,1200
140,1046,Client4,1,0,42,3,"prod15,prod8,prod12,prod5",0.6,0.6,9,1800
141,1047,Client0,1,21,38,1,"prod9,prod5,prod3",0.4,0.2,7,6300
142,1047,Client0,1,21,38,1,"prod9,prod5,prod3",0.6,0.4,2,600
143,1047,Client0,1,21,38,1,"prod9,prod5,prod3",0.6,0.6,1,100
144,1048,Client1,1,18,19,3,"prod15,prod5",0.6,0.2,7,6400
145,1049,Client0,1,12,47,4,"prod15,prod15",0.4,0.2,1,1000
146,1049,Client0,1,12,47,4,"prod15,prod15",0.8,0.4,9,9000
147,1050,Client0,1,15,2,4,"prod10,prod9,prod13,prod2",0.2,0.6,1,1000
148,1050,Client0,1,15,2,4,"prod10,prod9,prod13,prod2",0.4,0.6,8,800
149,1050,Client0,1,15,2,4,"prod10,prod9,prod13,prod2",0.6,0.2,11,5500
150,1050,Client0,1,15,2,4,"prod10,prod9,prod13,prod2",0.6,0.8,2,400
151,1051,Client2,1,19,29,0,"prod3,prod15,prod5",0.2,0.4,1,300
152,1051,Client2,1,19,29,0,"prod3,prod15,prod5",0.4,0.8,4,4000
153,1051,Client2,1,19,29,0,"prod3,prod15,prod5",0.6,0.2,10,9000
154,1052,Client0,1,19,35,3,"prod13,prod14,prod4",0.6,0.2,6,700
155,1052,Client0,1,19,35,3,"prod13,prod14,prod4",0.8,0.2,8,6400
156,1053,Client1,1,17,2,1,"prod2,prod12,prod15",0.4,0.6,1,500
157,1053,Client1,1,17,2,1,"prod2,prod12,prod15",0.4,0.8,8,8000
158,1053,Client1,1,17,2,1,"prod2,prod12,prod15",0.6,0.4,7,2800
159,1054,Client8,1,21,27,1,"prod5,prod10",0.2,0.4,10,10000
160,1054,Client8,1,21,27,1,"prod5,prod10",0.4,0.2,1,900
161,1055,Client5,1,6,55,1,"prod12,prod1,prod14",0.6,0.2,2,200
162,1055,Client5,1,6,55,1,"prod12,prod1,prod14",0.6,0.4,2,1100
163,1056,Client3,1,10,1,0,"prod5,prod13,prod4,prod6",0.4,0.4,7,4200
164,1056,Client3,1,10,1,0,"prod5,prod13,prod4,prod6",0.4,0.6,12,3100
165,1056,Client3,1,10,1,0,"prod5,prod13,prod4,prod6",0.8,0.2,9,7200
166,1057,Client8,1,13,32,2,"prod15,prod10",0.8,0.8,4,4000
167,1058,Client1,1,13,58,2,"prod11,prod14,prod1",0.6,0.4,1,600
168,1058,Client1,1,13,58,2,"prod11,prod14,prod1",0.6,0.6,7,700
169,1058,Client1,1,13,58,2,"prod11,prod14,prod1",1.0,0.6,7,4900
170,1059,Client8,1,7,9,2,"prod10,prod1,prod15,prod15",0.0,0.2,6,4200
171,1059,Client8,1,7,9,2,"prod10,prod1,prod15,prod15",0.2,0.6,1,1000
172,1059,Client8,1,7,9,2,"prod10,prod1,prod15,prod15",0.4,0.6,1,1000
173,1059,Client8,1,7,9,2,"prod10,prod1,prod15,prod15",0.6,0.6,6,6000
174,1060,Client6,1,14,6,0,"prod13,prod13,prod13",0.2,0.6,6,1200
175,1060,Client6,1,14,6,0,"prod13,prod13,prod13",0.6,0.2,9,1800
176,1060,Client6,1,14,6,0,"prod13,prod13,prod13",0.8,0.2,1,200
177,1061,Client4,1,13,17,5,"prod14,prod10,prod11",0.2,1.0,1,100
178,1061,Client4,1,13,17,5,"prod14,prod10,prod11",0.6,0.6,6,6000
179,1061,Client4,1,13,17,5,"prod14,prod10,prod11",0.8,0.2,4,2400
180,1062,Client9,1,21,4,3,"prod7,prod15,prod13",0.4,0.6,1,400
181,1062,Client9,1,21,4,3,"prod7,prod15,prod13",0.8,0.4,1,200
182,1062,Client9,1,21,4,3,"prod7,prod15,prod13",0.8,0.6,11,11000
183,1063,Client0,1,18,21,3,"prod5,prod2,prod15,prod2",0.2,0.6,8,4000
184,1063,Client0,1,18,21,3,"prod5,prod2,prod15,prod2",0.4,0.4,14,10400
185,1064,Client0,1,10,19,4,"prod3,prod9,prod15",0.0,0.4,1,300
186,1064,Client0,1,10,19,4,"prod3,prod9,prod15",0.4,0.6,11,1100
187,1064,Client0,1,10,19,4,"prod3,prod9,prod15",0.6,0.8,10,10000
188,1065,Client0,1,11,57,1,"prod14,prod4,prod12",0.4,0.2,9,3600
189,1065,Client0,1,11,57,1,"prod14,prod4,prod12",0.4,0.4,10,8000
190,1065,Client0,1,11,57,1,"prod14,prod4,prod12",0.6,0.2,1,100
191,1066,Client0,1,12,56,2,"prod10,prod2,prod3,prod11",0.0,0.8,10,6000
